financial_year,actual_revised_estimated,category,item,sector,ministry,type,amount,percent_of_gdp
2019,Actual,Expenditure,Total Expenditure,Social Development,Education,Operating,11932,0.023
2019,Actual,Expenditure,Total Expenditure,Social Development,Education,Development,791,0.002
2019,Actual,Expenditure,Total Expenditure,Social Development,National Development,Operating,2606,0.005
2019,Actual,Expenditure,Total Expenditure,Social Development,National Development,Development,926,0.002
2019,Actual,Expenditure,Total Expenditure,Social Development,Health,Operating,9915,0.019
2019,Actual,Expenditure,Total Expenditure,Social Development,Health,Development,1404,0.003
2019,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Operating,1540,0.003
2019,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Development,1076,0.002
2019,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Operating,1674,0.003
2019,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Development,210,0
2019,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Operating,2835,0.006
2019,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Development,111,0
2019,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Operating,517,0.001
2019,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Development,41,0
2019,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Operating,1029,0.002
2019,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Development,2,0
2019,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Operating,13669,0.027
2019,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Development,481,0.001
2019,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Operating,5703,0.011
2019,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Development,972,0.002
2019,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Operating,436,0.001
2019,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Development,16,0
2019,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Operating,892,0.002
2019,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Development,65,0
2019,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Operating,1945,0.004
2019,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Development,6617,0.013
2019,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Operating,1116,0.002
2019,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Development,3176,0.006
2019,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Operating,535,0.001
2019,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Development,29,0
2019,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Operating,852,0.002
2019,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Development,56,0
2019,Actual,Expenditure,Total Expenditure,Government Administration,Law,Operating,218,0
2019,Actual,Expenditure,Total Expenditure,Government Administration,Law,Development,311,0.001
2019,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Operating,508,0.001
2019,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Development,217,0
2019,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Operating,746,0.001
2019,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Development,172,0
2019,Actual,Expenditure,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,1561,0.003
2019,Actual,Expenditure,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,13568,0.027
2019,Actual,Expenditure,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,0,0
2019,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,0,0
2019,Actual,Expenditure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,0,0
2019,Actual,Revenue,Operating Revenue,Operating Revenue,Corporate Income Tax,Corporate Income Tax,16732,0.033
2019,Actual,Revenue,Operating Revenue,Operating Revenue,Personal Income Tax,Personal Income Tax,12368,0.024
2019,Actual,Revenue,Operating Revenue,Operating Revenue,Withholding Tax,Withholding Tax,1637,0.003
2019,Actual,Revenue,Operating Revenue,Operating Revenue,Statutory Boards' Contributions,Statutory Boards' Contributions,1798,0.004
2019,Actual,Revenue,Operating Revenue,Operating Revenue,Assets Taxes,Assets Taxes,4762,0.009
2019,Actual,Revenue,Operating Revenue,Operating Revenue,"Customs, Excise and Carbon Taxes","Customs, Excise and Carbon Taxes",3264,0.006
2019,Actual,Revenue,Operating Revenue,Operating Revenue,Goods and Services Tax,Goods and Services Tax,11164,0.022
2019,Actual,Revenue,Operating Revenue,Operating Revenue,Motor Vehicle Taxes,Motor Vehicle Taxes,2419,0.005
2019,Actual,Revenue,Operating Revenue,Operating Revenue,Betting Taxes,Betting Taxes,2620,0.005
2019,Actual,Revenue,Operating Revenue,Operating Revenue,Stamp Duty,Stamp Duty,4199,0.008
2019,Actual,Revenue,Operating Revenue,Operating Revenue,Other Taxes,Other Taxes,6683,0.013
2019,Actual,Revenue,Operating Revenue,Operating Revenue,Vehicle Quota Premiums,Vehicle Quota Premiums,2865,0.006
2019,Actual,Revenue,Operating Revenue,Operating Revenue,Fees and Charges (Excluding Vehicle Quota Premiums),Fees and Charges (Excluding Vehicle Quota Premiums),3409,0.007
